,Site,Longitude,Latitude,Depth,DistCoast,DistStream,Population,Effluent,UrbanIndex,PointIndex,AgrIndex,FormPlIndex,FragIndex,DitchIndex,Label
83,KUR-156,-178.3680295,28.42930432,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
84,KUR-241,-178.3074384,28.38440247,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
85,KUR-169,-178.3748214,28.43325983,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
86,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
87,KUR-186,-178.3528083,28.44921973,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
88,KUR-187,-178.3647671,28.43960493,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
89,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
91,KUR-164,-178.3068335,28.45271339,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
92,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
94,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
95,LIS-174,-173.8657271,25.99569786,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
96,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
97,LIS-160,-173.8674763,25.95852119,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
98,LIS-152,-173.8803839,25.95009813,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
99,LIS-150,-173.8799546,25.96597664,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
100,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
101,LIS-164,-173.8967245,25.96677032,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
103,LIS-146,-173.9039747,26.05233723,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
104,LIS-145,-173.9231853,26.07116994,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
105,LIS-165,-173.9446185,26.08411672,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
106,LIS-155,-173.9862654,26.08821698,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
108,LIS-142,-173.9565957,26.09191541,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
109,LIS-141,-173.977783,26.08844421,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
110,LIS-157,-174.0264062,26.05743787,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
111,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
112,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
113,LIS-179,-174.0304875,26.0001821,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
114,LIS-180,-174.0123502,25.96691323,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
115,LIS-153,-173.9705902,25.94523344,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
116,LIS-154,-173.9468795,25.93626782,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
117,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
118,HAW-457,-155.7091341,20.20014013,21.75,783.552930446,809.905318382,2218.0,342900.0,0.01925,0.0,0.042816666666667,0.0,0.0,0.07155,2
119,HAW-150,-155.7512105,20.23244122,10.25,134.867309506999,364.954344365,5956.0,1054280.0,0.1053,0.0,0.45008,0.0,0.0,0.22978,2
120,HAW-146,-155.7513162,20.23945042,22.0,451.730636324999,901.315505816,5593.0,1038880.0,0.119125,0.0,0.513925,0.0,0.0,0.287225,2
121,HAW-167,-155.855388,20.26778779,6.0,44.0901616932999,118.649527775,6055.0,1047280.0,0.1341,0.0,0.0,0.0,0.0,0.0,2
122,HAW-178,-155.2322548,19.98708649,13.5,181.693771201999,322.344116782,2902.0,553560.0,0.261855555555556,0.0,0.129655555555556,0.0,0.0,0.0,2
123,HAW-354,-155.3185486,20.03393152,16.0,153.448030985999,304.837726916,2960.0,445000.0,0.017266666666667,0.0,0.0,0.0,0.0,0.0,2
